id,price,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365
313973,225.0,30.25191,-97.78116,Private room,2,22,89
314152,350.0,30.356720000000003,-97.79621,Entire home/apt,4,0,0
315239,600.0,30.2135,-97.7809,Entire home/apt,3,2,365
316630,400.0,30.254309999999997,-97.75578,Entire home/apt,3,9,0
319759,535.0,30.26585,-97.73328000000001,Entire home/apt,1,238,325
319887,694.0,30.255359999999996,-97.72855,Entire home/apt,4,2,0
319894,207.0,30.284129999999998,-97.64927,Entire home/apt,2,101,348
320435,625.0,30.352290000000004,-97.69454,Entire home/apt,4,4,365
321069,679.0,30.254070000000002,-97.77818,Entire home/apt,2,1,62
321675,500.0,30.2509,-97.78843,Entire home/apt,1,13,0
322834,240.0,30.26833,-97.71708000000001,Entire home/apt,4,47,0
323733,178.0,30.26778,-97.74563,Entire home/apt,1,362,0
324480,80.0,30.300440000000002,-97.73687,Entire home/apt,30,0,329
325889,150.0,30.245829999999998,-97.75471999999999,Entire home/apt,3,36,195
326172,59.0,30.32631,-97.7425,Entire home/apt,29,7,193
329172,495.0,30.3024,-97.80719,Entire home/apt,3,6,362
330301,111.0,30.45096,-97.76467,Private room,2,15,365
331549,100.0,30.239109999999997,-97.58625,Private room,2,0,0
333114,109.0,30.36875,-97.65554,Private room,1,0,0
333442,296.0,30.312929999999998,-97.76659000000001,Entire home/apt,3,131,257
334616,250.0,30.24468,-97.72442,Entire home/apt,1,2,0
335885,150.0,30.20621,-97.85576999999999,Entire home/apt,2,36,331
337125,80.0,30.421979999999998,-97.76717,Private room,32,33,83
340045,400.0,30.261,-97.79196999999999,Entire home/apt,4,0,365
340710,300.0,30.252640000000003,-97.87295999999999,Entire home/apt,3,0,0
341382,150.0,30.26496,-97.71495999999999,Entire home/apt,4,124,0
341596,110.0,30.24754,-97.75855,Private room,2,68,317
342039,120.0,30.249609999999997,-97.73170999999999,Entire home/apt,1,285,252
342919,400.0,30.2582,-97.72019,Entire home/apt,3,0,0
343462,99.0,30.26912,-97.68767,Entire home/apt,1,243,256
345221,299.0,30.27105,-97.74933,Entire home/apt,3,8,0
345473,259.0,30.24547,-97.74739,Entire home/apt,2,79,275
345536,152.0,30.248359999999998,-97.76186,Entire home/apt,3,217,321
346381,150.0,30.254620000000003,-97.72125,Entire home/apt,2,8,365
347572,125.0,30.264870000000002,-97.71649000000001,Entire home/apt,2,29,0
347654,430.0,30.236179999999997,-97.74439,Entire home/apt,1,38,179
347847,231.0,30.269920000000003,-97.73093,Entire home/apt,2,65,12
347935,643.0,30.2521,-97.76163000000001,Entire home/apt,5,1,0
349447,120.0,30.27875,-97.72359,Entire home/apt,1,630,345
349635,52.0,30.299329999999998,-97.77637,Private room,1,45,239
351865,75.0,30.33179,-97.64911,Private room,1,0,0
352543,300.0,30.24489,-97.77263,Entire home/apt,2,25,321
353126,67.0,30.238459999999996,-97.74613000000001,Entire home/apt,29,6,257
353261,575.0,30.24336,-97.75152,Entire home/apt,3,149,233
353955,225.0,30.34442,-97.80005,Entire home/apt,3,1,0
354263,116.0,30.24782,-97.76294,Entire home/apt,3,312,325
354513,630.0,30.25859,-97.72983,Entire home/apt,3,5,0
354569,248.0,30.28923,-97.7606,Entire home/apt,3,11,0
355176,110.0,30.22062,-97.77387,Entire home/apt,30,20,275
355232,150.0,30.24803,-97.74556,Entire home/apt,1,3,365
355328,100.0,30.239279999999997,-97.77906999999999,Entire home/apt,1,0,0
355792,85.0,30.27927,-97.75421999999999,Entire home/apt,2,12,0
356675,150.0,30.305870000000002,-97.77131999999999,Entire home/apt,30,2,0
356719,300.0,30.30599,-97.69641,Entire home/apt,2,1,0
356837,428.0,30.2805,-97.74286,Entire home/apt,2,9,312
357503,495.0,30.249809999999997,-97.77781999999999,Entire home/apt,2,3,0
357529,173.0,30.2552,-97.76862,Entire home/apt,3,233,74
358164,100.0,30.31062,-97.7184,Private room,1,178,256
358643,150.0,30.229740000000003,-97.76657,Entire home/apt,1,0,0
359970,100.0,30.257590000000004,-97.71779000000001,Entire home/apt,1,78,288
362460,625.0,30.31725,-97.74403000000001,Entire home/apt,4,0,365
362662,300.0,30.2532,-97.72391,Entire home/apt,2,108,242
363040,67.0,30.25433,-97.77582,Entire home/apt,1,252,60
363944,150.0,30.25725,-97.77011,Entire home/apt,4,27,264
364025,225.0,30.274070000000002,-97.75345,Entire home/apt,5,13,0
364121,210.0,30.394090000000002,-97.91906999999999,Hotel room,2,1,365
364269,272.0,30.2584,-97.76881,Entire home/apt,10,82,294
365471,314.0,30.25917,-97.73425,Entire home/apt,2,73,150
367356,184.0,30.30625,-97.72202,Entire home/apt,2,164,354
367366,122.0,30.265259999999998,-97.6846,Entire home/apt,2,110,304
367445,106.0,30.306759999999997,-97.72635,Entire home/apt,3,188,0
367789,150.0,30.30665,-97.77150999999999,Entire home/apt,4,1,0
368057,275.0,30.2956,-97.70819,Entire home/apt,30,12,77
369090,650.0,30.25858,-97.75180999999999,Entire home/apt,1,0,0
381240,534.0,30.2524,-97.74436999999999,Entire home/apt,5,3,0
385602,150.0,30.169759999999997,-97.86306,Entire home/apt,3,0,0
403090,88.0,30.246579999999998,-97.7628,Entire home/apt,3,24,0
406911,122.0,30.259090000000004,-97.756,Entire home/apt,1,306,352
424279,172.0,30.24035,-97.7522,Entire home/apt,30,22,190
